,iso2,new_sp,new_sp_male,new_sp_female
0,0,58499.0,34174.0,24407.0
1,AD,103.0,39.0,25.0
2,AE,584.0,266.0,221.0
3,AF,81709.0,25654.0,54351.0
4,AG,23.0,9.0,12.0
5,AI,0.0,0.0,1.0
6,AL,2879.0,1638.0,829.0
7,AM,7559.0,5566.0,1191.0
8,AN,51.0,54.0,27.0
9,AO,208217.0,99430.0,96082.0
10,AR,83290.0,36468.0,28426.0
11,AS,31.0,11.0,12.0
12,AT,3974.0,2854.0,1318.0
13,AU,3448.0,1729.0,1018.0
14,AZ,17033.0,8201.0,2493.0
15,BA,9936.0,5076.0,3567.0
16,BB,63.0,35.0,15.0
17,BD,819444.0,520905.0,237103.0
18,BE,6339.0,3505.0,1530.0
19,BF,25416.0,15719.0,7667.0
20,BG,20763.0,5753.0,2549.0
21,BH,795.0,692.0,262.0
22,BI,39551.0,22790.0,13416.0
23,BJ,31466.0,18159.0,10035.0
24,BM,4.0,1.0,1.0
25,BN,1194.0,715.0,466.0
26,BO,103894.0,49678.0,33013.0
27,BR,621188.0,288426.0,152183.0
28,BS,486.0,273.0,161.0
29,BT,4981.0,2653.0,2198.0
30,BW,44725.0,19151.0,14468.0
31,BY,28752.0,5897.0,1493.0
32,BZ,820.0,402.0,223.0
33,CA,16413.0,10159.0,6271.0
34,CD,655506.0,322012.0,281083.0
35,CF,32129.0,15767.0,13543.0
36,CG,47516.0,11998.0,10417.0
37,CH,2761.0,1037.0,571.0
38,CI,162034.0,85765.0,56155.0
39,CK,83.0,46.0,36.0
40,CL,23987.0,11891.0,5892.0
41,CM,114970.0,66381.0,43802.0
42,CN,4294509.0,2787162.0,1278012.0
43,CO,118690.0,48725.0,27017.0
44,CR,4959.0,3363.0,1860.0
45,CU,9942.0,5962.0,2073.0
46,CV,1641.0,841.0,521.0
47,CY,124.0,75.0,47.0
48,CZ,6483.0,3911.0,1499.0
49,DE,37699.0,18338.0,8506.0
50,DJ,21413.0,12145.0,5938.0
51,DK,2221.0,1180.0,679.0
52,DM,52.0,19.0,14.0
53,DO,44775.0,18499.0,12266.0
54,DZ,117766.0,53644.0,35350.0
55,EC,76341.0,15049.0,10010.0
56,EE,3796.0,2073.0,692.0
57,EG,71063.0,44551.0,21479.0
58,ER,7227.0,3144.0,3318.0
59,ES,27832.0,14607.0,6838.0
60,ET,419610.0,222546.0,183171.0
61,FI,2187.0,1384.0,738.0
62,FJ,1797.0,631.0,462.0
63,FM,310.0,178.0,192.0
64,FR,36483.0,17619.0,9215.0
65,GA,13403.0,6593.0,4394.0
66,GB,20859.0,9061.0,5983.0
67,GD,24.0,14.0,5.0
68,GE,14568.0,13955.0,4836.0
69,GH,105135.0,54789.0,30150.0
70,GM,12062.0,7468.0,3284.0
71,GN,65217.0,40162.0,20567.0
72,GQ,1885.0,1038.0,637.0
73,GR,2555.0,1664.0,701.0
74,GT,34510.0,15076.0,13152.0
75,GU,267.0,204.0,108.0
76,GW,10937.0,4767.0,3114.0
77,GY,2562.0,2714.0,1302.0
78,HK,25007.0,13215.0,5855.0
