,year,new_sp,new_sp_m04,new_sp_m514,new_sp_m014,new_sp_m1524,new_sp_m2534,new_sp_m3544,new_sp_m4554,new_sp_m5564,new_sp_m65,new_sp_mu,new_sp_f04,new_sp_f514,new_sp_f014,new_sp_f1524,new_sp_f2534,new_sp_f3544,new_sp_f4554,new_sp_f5564,new_sp_f65,new_sp_fu
0,1980,8350.0,0.0,0.0,12.0,56.0,75.0,84.0,101.0,108.0,186.0,0.0,0.0,0.0,18.0,65.0,51.0,34.0,32.0,33.0,104.0,0.0
1,1981,7887.0,0.0,0.0,8.0,49.0,62.0,64.0,87.0,103.0,141.0,0.0,0.0,0.0,6.0,46.0,57.0,26.0,28.0,36.0,92.0,0.0
2,1982,7206.0,0.0,0.0,6.0,52.0,66.0,70.0,92.0,94.0,151.0,0.0,0.0,0.0,7.0,53.0,57.0,33.0,25.0,38.0,80.0,0.0
3,1983,7437.0,0.0,0.0,9.0,49.0,64.0,62.0,90.0,93.0,124.0,0.0,0.0,0.0,11.0,54.0,50.0,32.0,25.0,37.0,86.0,0.0
4,1984,11024.0,0.0,0.0,3.0,44.0,76.0,58.0,69.0,83.0,170.0,0.0,0.0,0.0,9.0,51.0,59.0,28.0,28.0,36.0,100.0,0.0
5,1985,13130.0,0.0,0.0,12.0,42.0,70.0,60.0,79.0,82.0,168.0,0.0,0.0,0.0,5.0,31.0,57.0,19.0,28.0,49.0,97.0,0.0
6,1986,14635.0,0.0,0.0,9.0,59.0,73.0,62.0,59.0,73.0,147.0,0.0,0.0,0.0,11.0,33.0,54.0,33.0,20.0,26.0,95.0,0.0
7,1987,21743.0,0.0,0.0,9.0,40.0,71.0,61.0,49.0,64.0,129.0,0.0,0.0,0.0,9.0,39.0,48.0,29.0,17.0,26.0,79.0,0.0
8,1988,24665.0,0.0,0.0,4.0,43.0,73.0,62.0,52.0,68.0,131.0,0.0,0.0,0.0,6.0,38.0,56.0,27.0,16.0,26.0,80.0,0.0
9,1989,25060.0,0.0,0.0,10.0,45.0,56.0,60.0,54.0,62.0,123.0,0.0,0.0,0.0,7.0,37.0,51.0,23.0,24.0,21.0,81.0,0.0
10,1990,28636.0,0.0,0.0,3.0,35.0,70.0,55.0,40.0,42.0,100.0,0.0,0.0,0.0,1.0,30.0,38.0,26.0,17.0,20.0,72.0,0.0
11,1991,29164.0,0.0,0.0,7.0,37.0,79.0,53.0,37.0,36.0,110.0,0.0,0.0,0.0,4.0,24.0,37.0,31.0,9.0,20.0,60.0,0.0
12,1992,32811.0,0.0,0.0,6.0,42.0,47.0,58.0,42.0,53.0,79.0,0.0,0.0,0.0,2.0,27.0,28.0,22.0,11.0,16.0,79.0,0.0
13,1993,811476.0,0.0,0.0,8.0,33.0,47.0,53.0,45.0,33.0,74.0,0.0,0.0,0.0,6.0,22.0,51.0,22.0,21.0,22.0,55.0,0.0
14,1994,917813.0,0.0,0.0,5.0,73.0,100.0,69.0,65.0,54.0,92.0,0.0,0.0,0.0,14.0,68.0,67.0,35.0,25.0,22.0,61.0,0.0
15,1995,1175290.0,0.0,0.0,7491.0,48816.0,76799.0,65678.0,49514.0,41756.0,34776.0,0.0,0.0,0.0,7730.0,41378.0,50102.0,32741.0,22688.0,17816.0,16686.0,0.0
16,1996,1331989.0,0.0,0.0,6571.0,60697.0,95167.0,83405.0,61594.0,51817.0,44555.0,0.0,0.0,0.0,8045.0,49736.0,61513.0,40897.0,27590.0,22264.0,21854.0,0.0
17,1997,1371331.0,0.0,0.0,8234.0,73431.0,112495.0,94777.0,70821.0,57641.0,51849.0,0.0,0.0,0.0,9099.0,61097.0,71048.0,45543.0,30279.0,23460.0,23430.0,0.0
18,1998,1414648.0,0.0,0.0,9109.0,85202.0,125832.0,107724.0,82784.0,63254.0,58234.0,0.0,0.0,0.0,10837.0,72240.0,82564.0,53744.0,36024.0,26945.0,25896.0,0.0
19,1999,1507579.0,0.0,0.0,9935.0,99144.0,148252.0,131021.0,101876.0,73165.0,68321.0,0.0,0.0,0.0,11970.0,82378.0,101734.0,62934.0,42386.0,30570.0,30831.0,0.0
