,year,all_new_sp
0,1980,11289.0
1,1981,10673.0
2,1982,10012.0
3,1983,10206.0
4,1984,13822.0
5,1985,15914.0
6,1986,17375.0
7,1987,24400.0
8,1988,27335.0
9,1989,27703.0
10,1990,31175.0
11,1991,31699.0
12,1992,35315.0
13,1993,813961.0
14,1994,920557.0
15,1995,1691256.0
16,1996,1969690.0
17,1997,2106532.0
18,1998,2257035.0
19,1999,2504095.0
20,2000,2685036.0
21,2001,2857944.0
22,2002,3251100.0
23,2003,3810786.0
24,2004,4409748.0
25,2005,4776127.0
26,2006,5054560.0
27,2007,5166778.0
28,2008,5306422.0
